mod_id,mod_installed_name,mod_version,file_installed_name
19618,"Auto Harvest 2 - Loot Container and Deadbodies","1.0.0.0","AH_0932-19618-0-932.7z"
16887,"BLESSINGS - Altar Descriptions","1.0.0.0","BLESSINGS - Altar Descriptions-16887-V1.7z"
67811,"Genesis - Dynamically Increased Enemy Spawns and Enhanced Loot","1.5.0.0","Genesis - Dynamically Increased Enemy Spawns-67811-1-5.7z"
60756,"Instant Mining","1.1.0.0","InstantMining v1-1 NoTools-60756-1-1.rar"
68425,"Ordinator - Perks of Skyrim","f9.08","Ordinator v908-68425-9-08.zip"
21765,"Read And Learn Speechcraft Speech","1.2.0.0","ReadAndLearnSpeechcraft-21765-1-2.zip"
24116,"RQ - Tanning and Smelting Experience","d2017.3.26","Tanning and Smelting Experience-24116-.rar"
141,"SFO Billboards","2.5.0.0b","SFO Billboards for v2.5b  (updated)-141-.7z"
60445,"SkyComplete - Legendary Edition 1.45","1.45.0.0","SkyComplete - Legendary Edition 1.45-60445-1-45.zip"
141,"Skyrim Flora Overhaul","2.5.0.0b","Skyrim Flora Overhaul v2.5b-141-2-5b.7z"
3863,"SkyUI","5.1.0.0","SkyUI_5_1-3863-5-1.7z"
-1,"Unmanaged: Dawnguard","",""
-1,"Unmanaged: Dragonborn","",""
-1,"Unmanaged: HearthFires","",""
-1,"Unmanaged: HighResTexturePack01","",""
-1,"Unmanaged: HighResTexturePack02","",""
-1,"Unmanaged: HighResTexturePack03","",""
71214,"Unofficial Skyrim Legendary Edition Patch","3.0.8.0a","Unofficial Skyrim Legendary Edition Patch-71214-3-0-8a.7z"
10012,"Unread Books Glow","2.2.0.0","Unread Books Glow v2_2_0-10012-2-2-0.7z"
73937,"Vivid Weathers","1.51.0.0","Vivid Weathers-73937-1-51.7z"
